[run-experiment; hdiff at version alpha]
Location  MinSharingHeight  MergeResult
awesome-28ffdb050e5386f268c5045c1b57ff5bce9a60ad-c8ea28607f0a2c8af68d0e9cda7ea2d62e6118df 1 proper conflicting
awesome-28ffdb050e5386f268c5045c1b57ff5bce9a60ad-c8ea28607f0a2c8af68d0e9cda7ea2d62e6118df 1 nonest conflicting
awesome-28ffdb050e5386f268c5045c1b57ff5bce9a60ad-c8ea28607f0a2c8af68d0e9cda7ea2d62e6118df 1 patience conflicting
awesome-564fae893477e09b87b6bb525aab9bad44a4ba6d-97e939661a152b5b5cd5f694aaaba610e21d1ed7 1 proper conflicting
awesome-564fae893477e09b87b6bb525aab9bad44a4ba6d-97e939661a152b5b5cd5f694aaaba610e21d1ed7 1 nonest conflicting
awesome-564fae893477e09b87b6bb525aab9bad44a4ba6d-97e939661a152b5b5cd5f694aaaba610e21d1ed7 1 patience conflicting
awesome-564fae893477e09b87b6bb525aab9bad44a4ba6d-f2afefcede9690ee431236f4130560586df334a0 1 proper conflicting
awesome-564fae893477e09b87b6bb525aab9bad44a4ba6d-f2afefcede9690ee431236f4130560586df334a0 1 nonest success
awesome-564fae893477e09b87b6bb525aab9bad44a4ba6d-f2afefcede9690ee431236f4130560586df334a0 1 patience success
awesome-56c22cde770e179121791481b00450cf90a00a7c-97e939661a152b5b5cd5f694aaaba610e21d1ed7 1 proper conflicting
awesome-56c22cde770e179121791481b00450cf90a00a7c-97e939661a152b5b5cd5f694aaaba610e21d1ed7 1 nonest success
awesome-56c22cde770e179121791481b00450cf90a00a7c-97e939661a152b5b5cd5f694aaaba610e21d1ed7 1 patience success
awesome-56c22cde770e179121791481b00450cf90a00a7c-c9d0a483d3a7bc8175cccff0c2896410ade78924 1 proper conflicting
awesome-56c22cde770e179121791481b00450cf90a00a7c-c9d0a483d3a7bc8175cccff0c2896410ade78924 1 nonest conflicting
awesome-56c22cde770e179121791481b00450cf90a00a7c-c9d0a483d3a7bc8175cccff0c2896410ade78924 1 patience conflicting
awesome-copycats-ce330c716b60337aeaa562d294253de1978082b7-5234811325583e76de773c99babeb7192e8f9a16 1 proper conflicting
awesome-copycats-ce330c716b60337aeaa562d294253de1978082b7-5234811325583e76de773c99babeb7192e8f9a16 1 nonest conflicting
awesome-copycats-ce330c716b60337aeaa562d294253de1978082b7-5234811325583e76de773c99babeb7192e8f9a16 1 patience conflicting
